"","date","oil_price"
"1",1986-01-01,22.395111281701
"2",1986-02-01,15.3370225750651
"3",1986-03-01,12.9015347713757
"4",1986-04-01,12.369051424657
"5",1986-05-01,14.8147409261103
"6",1986-06-01,13.1504624675005
"7",1986-07-01,11.6581869110879
"8",1986-08-01,15.033975822689
"9",1986-09-01,15.2302504618878
"10",1986-10-01,15.1113903393072
"11",1986-11-01,15.9330985892324
"12",1986-12-01,16.5038077955951
"13",1987-01-01,18.1218127762698
"14",1987-02-01,17.5797012104689
"15",1987-03-01,18.6541561430848
"16",1987-04-01,18.0776728852021
"17",1987-05-01,18.87476584807
"18",1987-06-01,19.7381965595912
"19",1987-07-01,21.5617217170123
"20",1987-08-01,20.3371417456426
"21",1987-09-01,19.8664643583094
"22",1987-10-01,19.9624333675684
"23",1987-11-01,19.4975758427654
"24",1987-12-01,17.6231245320936
"25",1988-01-01,16.5770838205529
"26",1988-02-01,16.7163135028008
"27",1988-03-01,16.4947665061332
"28",1988-04-01,17.4267782174818
"29",1988-05-01,17.1328396241411
"30",1988-06-01,16.4329877872538
"31",1988-07-01,15.7131615828423
"32",1988-08-01,15.6519626604397
"33",1988-09-01,14.6441084236267
"34",1988-10-01,13.5736830120442
"35",1988-11-01,14.3025902688646
"36",1988-12-01,16.6033485295007
"37",1989-01-01,17.5186716270936
"38",1989-02-01,17.9490109805849
"39",1989-03-01,19.9783018138344
"40",1989-04-01,20.8406724347081
"41",1989-05-01,20.0647674550139
"42",1989-06-01,20.0937889746709
"43",1989-07-01,20.1174047119431
"44",1989-08-01,18.766082009552
"45",1989-09-01,19.4149123709907
"46",1989-10-01,19.3739338218021
"47",1989-11-01,19.6527720226272
"48",1989-12-01,21.3025616449675
"49",1990-01-01,22.5152560571933
"50",1990-02-01,22.3909845266884
"51",1990-03-01,21.0946141949313
"52",1990-04-01,18.4589388789896
"53",1990-05-01,18.3307038224242
"54",1990-06-01,16.8041097639754
"55",1990-07-01,18.7062789258423
"56",1990-08-01,27.518558421952
"57",1990-09-01,32.7347626765606
"58",1990-10-01,33.9971403937224
"59",1990-11-01,31.4604096774851
"60",1990-12-01,27.6661543369484
"61",1991-01-01,25.344325071366
"62",1991-02-01,20.9250772419833
"63",1991-03-01,20.8372474837249
"64",1991-04-01,21.0990626904146
"65",1991-05-01,21.3657021021103
"66",1991-06-01,20.2082767882122
"67",1991-07-01,21.627142649141
"68",1991-08-01,21.6507833554131
"69",1991-09-01,21.1624025584484
"70",1991-10-01,21.6414329101998
"71",1991-11-01,21.7258695179525
"72",1991-12-01,20.0185341066512
"73",1992-01-01,19.2485406223748
"74",1992-02-01,19.6180821659714
"75",1992-03-01,19.9425252418895
"76",1992-04-01,20.4831018229495
"77",1992-05-01,20.8664583695502
"78",1992-06-01,22.2805603090356
"79",1992-07-01,21.915467344752
"80",1992-08-01,21.0987984922324
"81",1992-09-01,21.1529205661905
"82",1992-10-01,20.1414184570771
"83",1992-11-01,19.7525286904159
"84",1992-12-01,20.1608116491043
"85",1993-01-01,19.8153386422701
"86",1993-02-01,20.8706026171229
"87",1993-03-01,21.345301092568
"88",1993-04-01,20.2706031688983
"89",1993-05-01,19.5731357176894
"90",1993-06-01,18.9128446607725
"91",1993-07-01,18.0094854093937
"92",1993-08-01,17.7402962225556
"93",1993-09-01,16.9846322041098
"94",1993-10-01,16.9515252109868
"95",1993-11-01,16.3602001031454
"96",1993-12-01,15.0779024164545
"97",1994-01-01,15.7457019383769
"98",1994-02-01,15.387031529814
"99",1994-03-01,15.2482752128095
"100",1994-04-01,16.1749960413017
"101",1994-05-01,17.3959542756735
"102",1994-06-01,18.9862462668468
"103",1994-07-01,19.8832404183233
"104",1994-08-01,18.155388704606
"105",1994-09-01,17.0564611328976
"106",1994-10-01,16.6465659292243
"107",1994-11-01,17.9856747141948
"108",1994-12-01,17.6532120439756
"109",1995-01-01,18.8233490823895
"110",1995-02-01,19.2789073359888
"111",1995-03-01,19.0500782439954
"112",1995-04-01,19.4345028232801
"113",1995-05-01,19.2011614297583
"114",1995-06-01,18.6128773394843
"115",1995-07-01,17.6216415405191
"116",1995-08-01,17.9541510689918
"117",1995-09-01,17.7879169904274
"118",1995-10-01,16.3828647317378
"119",1995-11-01,17.9261473737203
"120",1995-12-01,19.4262908297467
"121",1996-01-01,19.5331908946294
"122",1996-02-01,19.7227132716252
"123",1996-03-01,21.8644012588512
"124",1996-04-01,22.8685061500475
"125",1996-05-01,20.7096244690316
"126",1996-06-01,20.9755992461046
"127",1996-07-01,21.7000866813189
"128",1996-08-01,21.9097685342368
"129",1996-09-01,23.1809224065967
"130",1996-10-01,23.4064962935466
"131",1996-11-01,23.4884244264929
"132",1996-12-01,25.6312131930137
"133",1997-01-01,25.9602984228592
"134",1997-02-01,22.8571101059672
"135",1997-03-01,21.4682194069119
"136",1997-04-01,19.2170522973318
"137",1997-05-01,20.601594227872
"138",1997-06-01,20.02525190743
"139",1997-07-01,19.9200955097694
"140",1997-08-01,19.9820417838032
"141",1997-09-01,18.8255621840967
"142",1997-10-01,20.1019137976889
"143",1997-11-01,19.9372967225662
"144",1997-12-01,18.7484648941028
"145",1998-01-01,17.2957428359403
"146",1998-02-01,16.4726881457959
"147",1998-03-01,15.522159908416
"148",1998-04-01,15.0647405956195
"149",1998-05-01,14.8340392754581
"150",1998-06-01,14.2804948779626
"151",1998-07-01,14.2578166623319
"152",1998-08-01,13.3633892509573
"153",1998-09-01,14.0910616352871
"154",1998-10-01,13.7489119809544
"155",1998-11-01,12.8863887533151
