"","date","disney_stock"
"1",2007-01-03,33.7383003234863
"2",2007-01-04,34.0046539306641
"3",2007-01-05,33.7284355163574
"4",2007-01-08,34.0342483520508
"5",2007-01-09,33.9849243164062
"6",2007-01-10,34.0243835449219
"7",2007-01-11,34.517635345459
"8",2007-01-12,34.7346649169922
"9",2007-01-16,34.5570945739746
"10",2007-01-17,34.7741241455078
"11",2007-01-18,35.366024017334
"12",2007-01-19,35.0207481384277
"13",2007-01-22,34.6754760742188
"14",2007-01-23,35.0996704101562
"15",2007-01-24,34.8727760314941
"16",2007-01-25,34.4683113098145
"17",2007-01-26,34.0835762023926
"18",2007-01-29,34.2118186950684
"19",2007-01-30,34.5669593811035
"20",2007-01-31,34.6952056884766
"21",2007-02-01,34.5373649597168
"22",2007-02-02,34.7050704956055
"23",2007-02-05,34.7839889526367
"24",2007-02-06,34.7149353027344
"25",2007-02-07,35.0010185241699
"26",2007-02-08,34.8135833740234
"27",2007-02-09,33.8961410522461
"28",2007-02-12,33.4620780944824
"29",2007-02-13,34.1230354309082
"30",2007-02-14,34.280876159668
"31",2007-02-15,34.2019538879395
"32",2007-02-16,34.4189834594727
"33",2007-02-20,34.5768241882324
"34",2007-02-21,34.6656112670898
"35",2007-02-22,34.6853408813477
"36",2007-02-23,34.6656112670898
"37",2007-02-26,34.6360168457031
"38",2007-02-27,32.653148651123
"39",2007-02-28,33.7876243591309
"40",2007-03-01,33.9257354736328
"41",2007-03-02,33.4916763305664
"42",2007-03-05,33.264778137207
"43",2007-03-06,33.906005859375
"44",2007-03-07,33.9651947021484
"45",2007-03-08,34.2216835021973
"46",2007-03-09,33.906005859375
"47",2007-03-12,33.7383003234863
"48",2007-03-13,33.166130065918
"49",2007-03-14,33.2746467590332
"50",2007-03-15,33.3338356018066
"51",2007-03-16,33.1562652587891
"52",2007-03-19,33.6297836303711
"53",2007-03-20,33.9158706665039
"54",2007-03-21,34.6952056884766
"55",2007-03-22,34.8530464172363
"56",2007-03-23,34.517635345459
"57",2007-03-26,34.7445297241211
"58",2007-03-27,34.1920890808105
"59",2007-03-28,33.767894744873
"60",2007-03-29,33.9257354736328
"61",2007-03-30,33.9651947021484
"62",2007-04-02,34.0046539306641
"63",2007-04-03,34.4485816955566
"64",2007-04-04,34.1723594665527
"65",2007-04-05,34.4387168884277
"66",2007-04-09,34.4387168884277
"67",2007-04-10,34.517635345459
"68",2007-04-11,34.1230354309082
"69",2007-04-12,34.2019538879395
"70",2007-04-13,34.2512817382812
"71",2007-04-16,34.5472297668457
"72",2007-04-17,34.6754760742188
"73",2007-04-18,34.4485816955566
"74",2007-04-19,34.4485816955566
"75",2007-04-20,34.8037185668945
"76",2007-04-23,34.6064186096191
"77",2007-04-24,34.4387168884277
"78",2007-04-25,34.8431816101074
"79",2007-04-26,34.6952056884766
"80",2007-04-27,34.5077705383301
"81",2007-04-30,34.5077705383301
"82",2007-05-01,34.991153717041
"83",2007-05-02,35.2180480957031
"84",2007-05-03,35.2081832885742
"85",2007-05-04,35.366024017334
"86",2007-05-07,35.5731887817383
"87",2007-05-08,36.0565757751465
"88",2007-05-09,35.632381439209
"89",2007-05-10,35.2081832885742
"90",2007-05-11,35.5830535888672
"91",2007-05-14,35.494270324707
"92",2007-05-15,35.4548110961914
"93",2007-05-16,35.5238647460938
"94",2007-05-17,35.5041351318359
"95",2007-05-18,35.5337295532227
"96",2007-05-21,35.9480590820312
"97",2007-05-22,35.7803535461426
"98",2007-05-23,35.9875183105469
"99",2007-05-24,35.3561592102051
"100",2007-05-25,35.5435943603516
"101",2007-05-29,35.1095352172852
"102",2007-05-30,35.4252166748047
"103",2007-05-31,34.9615592956543
"104",2007-06-01,34.7642593383789
"105",2007-06-04,35.2180480957031
"106",2007-06-05,34.7938537597656
"107",2007-06-06,34.4387168884277
"108",2007-06-07,33.7974891662598
"109",2007-06-08,33.7383003234863
"110",2007-06-11,33.7185707092285
"111",2007-06-12,33.1069412231445
"112",2007-06-13,33.4000015258789
"113",2007-06-14,33.7900009155273
"114",2007-06-15,34.4000015258789
"115",2007-06-18,34.5400009155273
"116",2007-06-19,34.7599983215332
"117",2007-06-20,34.189998626709
"118",2007-06-21,34.189998626709
"119",2007-06-22,34.1399993896484
"120",2007-06-25,34.060001373291
"121",2007-06-26,34.060001373291
"122",2007-06-27,34.2700004577637
"123",2007-06-28,33.8499984741211
"124",2007-06-29,34.1399993896484
"125",2007-07-02,34.5200004577637
"126",2007-07-03,34.5400009155273
"127",2007-07-05,34.6300010681152
"128",2007-07-06,34.4900016784668
"129",2007-07-09,34.4599990844727
"130",2007-07-10,33.8899993896484
"131",2007-07-11,33.9799995422363
"132",2007-07-12,34.25
"133",2007-07-13,34.3699989318848
"134",2007-07-16,34.4700012207031
"135",2007-07-17,34.6800003051758
"136",2007-07-18,34.5999984741211
"137",2007-07-19,34.4700012207031
"138",2007-07-20,34.3400001525879
"139",2007-07-23,35.0299987792969
"140",2007-07-24,34.75
"141",2007-07-25,34.9300003051758
"142",2007-07-26,34.0800018310547
"143",2007-07-27,33.7400016784668
"144",2007-07-30,34.0099983215332
"145",2007-07-31,33
"146",2007-08-01,33.8300018310547
"147",2007-08-02,34.3600006103516
"148",2007-08-03,33.9000015258789
"149",2007-08-06,34.2999992370605
"150",2007-08-07,34.5499992370605
"151",2007-08-08,34.2900009155273
"152",2007-08-09,33
"153",2007-08-10,33.1599998474121
"154",2007-08-13,33.2400016784668
"155",2007-08-14,32.3600006103516
"156",2007-08-15,31.7099990844727
"157",2007-08-16,32.5800018310547
